text,term,polarity
We enjoyed ourselves thoroughly and will be going back for the desserts ....,desserts,positive
We enjoyed ourselves thoroughly and will be going back for the desserts ....,food,positive
We enjoyed ourselves thoroughly and will be going back for the desserts ....,anecdotes/miscellaneous,positive
Desserts are almost incredible: my personal favorite is their Tart of the Day.,Desserts,positive
Desserts are almost incredible: my personal favorite is their Tart of the Day.,Tart of the Day,positive
Desserts are almost incredible: my personal favorite is their Tart of the Day.,food,positive
I am surprised at the lower reviews because it is definitely better than other places I have tried with higher ratings.,anecdotes/miscellaneous,positive
Maybe the secret was that we went on a Sunday night and everything was great.,anecdotes/miscellaneous,positive
"The food was extremely tasty, creatively presented and the wine excellent.",food,positive
"The food was extremely tasty, creatively presented and the wine excellent.",wine,positive
"The food was extremely tasty, creatively presented and the wine excellent.",food,positive
WE ENDED UP IN LITTLE ITALY IN LATE AFTERNOON.,anecdotes/miscellaneous,neutral
WE WERE PLEASANTLY SURPRISED WITH OUR CHOICE.,anecdotes/miscellaneous,positive
THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.,LASAGNA,positive
THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.,food,positive
Harumi Sushi has the freshest and most delicious array of sushi in NYC.,array of sushi,positive
Harumi Sushi has the freshest and most delicious array of sushi in NYC.,food,positive
"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",cuisine,positive
"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",owners,positive
"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",staff,positive
"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",food,positive
"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",service,positive
"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",indian food,positive
"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",ambiance,positive
"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",food,positive
"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",ambience,positive
I definitely enjoyed the food as well.,food,positive
I definitely enjoyed the food as well.,food,positive
have always had a great time here.,anecdotes/miscellaneous,positive
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",service,positive
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",garden,positive
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",food,positive
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",appetizers,positive
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",entrees,positive
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",ambience,positive
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",service,positive
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",food,positive
You will be very happy with the experience.,anecdotes/miscellaneous,positive
"The food is surprisingly good, and the decor is nice.",food,positive
"The food is surprisingly good, and the decor is nice.",decor,positive
"The food is surprisingly good, and the decor is nice.",food,positive
"The food is surprisingly good, and the decor is nice.",ambience,positive
How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!,lunch,negative
How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!,dinners,negative
How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!,food,negative
Two wasted steaks -- what a crime!,steaks,negative
Two wasted steaks -- what a crime!,food,negative
The staff should be a bit more friendly.,staff,negative
The staff should be a bit more friendly.,service,negative
I absolutely suggest this place.,anecdotes/miscellaneous,positive
I think the meatball parm is good.,meatball parm,positive
I think the meatball parm is good.,food,positive
"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong.",latin food,positive
"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong.",food,positive
Definitely try the taglierini with truffles - it was incredible.,taglierini with truffles,positive
Definitely try the taglierini with truffles - it was incredible.,food,positive
"Also, the staff is very attentive and really personable.",staff,positive
"Also, the staff is very attentive and really personable.",service,positive
"Overall, this is a great new restaurant that has been consistently good every time I have been.",anecdotes/miscellaneous,positive
The gnocchi literally melts in your mouth!,gnocchi,positive
The gnocchi literally melts in your mouth!,food,positive
Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,staff,positive
Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,food,positive
Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,portion size,positive
Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,portobello/gorgonzola/sausage appetizer,positive
Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,lobster risotto,positive
Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,service,positive
Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,food,positive
"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",Entrees,neutral
"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",lasagna,neutral
"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",fettuccine Alfredo,neutral
"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",chicken parmigiana,neutral
"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",food,neutral
"The food is good, the teriyaki I recommend.",food,positive
"The food is good, the teriyaki I recommend.",teriyaki,positive
"The food is good, the teriyaki I recommend.",food,positive
Meal was very expensive for what you get.,Meal,negative
Meal was very expensive for what you get.,food,negative
Meal was very expensive for what you get.,price,negative
Try the Peanut Butter Sorbet and the pizza with soy cheese!,Peanut Butter Sorbet,positive
Try the Peanut Butter Sorbet and the pizza with soy cheese!,pizza with soy cheese,positive
Try the Peanut Butter Sorbet and the pizza with soy cheese!,food,positive
"Good food at the right price, what more can you ask for.",food,positive
"Good food at the right price, what more can you ask for.",price,positive
"Good food at the right price, what more can you ask for.",food,positive
"Good food at the right price, what more can you ask for.",price,positive
"We love it, and took buses and cabs to get there.",anecdotes/miscellaneous,positive
"If you' re in New York, you do not want to miss this place.",anecdotes/miscellaneous,positive
"The food is top notch, the service is attentive, and the atmosphere is great.",food,positive
"The food is top notch, the service is attentive, and the atmosphere is great.",service,positive
"The food is top notch, the service is attentive, and the atmosphere is great.",atmosphere,positive
"The food is top notch, the service is attentive, and the atmosphere is great.",food,positive
"The food is top notch, the service is attentive, and the atmosphere is great.",service,positive
"The food is top notch, the service is attentive, and the atmosphere is great.",ambience,positive
"I've been coming here on and off for the past five years and I have to say that La Lanterna has never, ever dissapointed me.",anecdotes/miscellaneous,positive
"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",food,positive
"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",waitstaff,positive
"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",atmosphere,positive
"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",beer,positive
"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",food,positive
"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",service,positive
"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",ambience,positive
this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,food,positive
this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,kimono shrimp special,positive
this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,atmosphere,positive
this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,food,positive
this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,price,positive
this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,ambience,positive
"My husband and I moved to Nolita 6 years ago and for as long as we have lived here, Peasant has been our favorite!",anecdotes/miscellaneous,positive
The whole experience was satisfying.,anecdotes/miscellaneous,positive
"However, it was worth the visit.",anecdotes/miscellaneous,positive
The menu is interesting and quite reasonably priced.,menu,positive
The menu is interesting and quite reasonably priced.,priced,positive
The menu is interesting and quite reasonably priced.,food,positive
The menu is interesting and quite reasonably priced.,price,positive
The food was delicious and clearly fresh ingredients were used.,food,positive
The food was delicious and clearly fresh ingredients were used.,ingredients,positive
The food was delicious and clearly fresh ingredients were used.,food,positive
This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.,food,negative
This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.,food,negative
Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,Appetizer,positive
Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,meal,positive
Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,food,positive
Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,price,positive
The spicy mussels are a highlight.,spicy mussels,positive
The spicy mussels are a highlight.,food,positive
Also get the Onion Rings -- best we've ever had.,Onion Rings,positive
Also get the Onion Rings -- best we've ever had.,food,positive
Would not return for the amount we paid.,price,negative
"However, being foodies, we were utterly disappointed with the food.",food,negative
"However, being foodies, we were utterly disappointed with the food.",food,negative
"Huge portions, great and attentive service, and pretty good prices.",portions,positive
"Huge portions, great and attentive service, and pretty good prices.",service,positive
"Huge portions, great and attentive service, and pretty good prices.",prices,positive
"Huge portions, great and attentive service, and pretty good prices.",food,positive
"Huge portions, great and attentive service, and pretty good prices.",service,positive
"Huge portions, great and attentive service, and pretty good prices.",price,positive
I was highly disappointed by their service and food.,service,negative
I was highly disappointed by their service and food.,food,negative
I was highly disappointed by their service and food.,service,negative
I was highly disappointed by their service and food.,food,negative
"I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up.",waiter,negative
"I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up.",manager,negative
"I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up.",service,negative
The food is great and the milkshakes are even better!,food,positive
The food is great and the milkshakes are even better!,milkshakes,positive
The food is great and the milkshakes are even better!,food,positive
Stay away if you're claustrophobic,ambience,negative
"If you're in the 'hood, definitely stop in.",anecdotes/miscellaneous,positive
the mushroom barley soup is amazing.,mushroom barley soup,positive
the mushroom barley soup is amazing.,food,positive
"On the recommendation of a friend, I checked out Arezzo with my wife.",anecdotes/miscellaneous,neutral
"I'm glad I did as the food was very good and the staff was friendly, courteous and efficient.",food,positive
"I'm glad I did as the food was very good and the staff was friendly, courteous and efficient.",staff,positive
"I'm glad I did as the food was very good and the staff was friendly, courteous and efficient.",food,positive
"I'm glad I did as the food was very good and the staff was friendly, courteous and efficient.",service,positive
Their duck here is also absolutely delicious.,duck,positive
Their duck here is also absolutely delicious.,food,positive
This is definitely one of the places that I have continued to come back to over the years.,anecdotes/miscellaneous,positive
"While it was large and a bit noisy, the drinks were fantastic, and the food was superb.",drinks,positive
"While it was large and a bit noisy, the drinks were fantastic, and the food was superb.",food,positive
"While it was large and a bit noisy, the drinks were fantastic, and the food was superb.",ambience,negative
"While it was large and a bit noisy, the drinks were fantastic, and the food was superb.",food,positive
One caveat: Some of the curried casseroles can be a trifle harsh.,curried casseroles,negative
One caveat: Some of the curried casseroles can be a trifle harsh.,food,negative
I wasn't impressed and it wasn't SPICEY????,food,negative
The food was almost always EXCELLENT.,food,positive
The food was almost always EXCELLENT.,food,positive
I was pleasently surprised at the taste.,taste,positive
I was pleasently surprised at the taste.,food,positive
"A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.",seafood,positive
"A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.",cuisine,positive
"A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.",food,positive
I never had an orange donut before so I gave it a shot.,orange donut,neutral
I never had an orange donut before so I gave it a shot.,food,neutral
"they really provide a relaxing, laid-back atmosphere.",atmosphere,positive
"they really provide a relaxing, laid-back atmosphere.",ambience,positive
This particular location certainly uses substandard meats.,meats,negative
This particular location certainly uses substandard meats.,food,negative
I stumbled upon this resteraunt on my way home from the subway.,anecdotes/miscellaneous,neutral
The Management was less than accomodating.,Management,negative
The Management was less than accomodating.,service,negative
The ambience is also more laid-back and relaxed.,ambience,positive
The ambience is also more laid-back and relaxed.,ambience,positive
the teas are great and all the sweets are homemade.,teas,positive
the teas are great and all the sweets are homemade.,sweets,positive
the teas are great and all the sweets are homemade.,food,positive
mojitos and the service are the best part in there,mojitos,positive
mojitos and the service are the best part in there,service,positive
mojitos and the service are the best part in there,food,positive
mojitos and the service are the best part in there,service,positive
"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",Sandwiches,positive
"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",burgers,positive
"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",salads,positive
"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",lemon-dressed cobb,positive
"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",food,positive
this restaurant is absolutely beautiful.,anecdotes/miscellaneous,positive
The design is very intimate and romantic.,design,positive
The design is very intimate and romantic.,ambience,positive
The food was wonderful and imaginative.,food,positive
The food was wonderful and imaginative.,food,positive
The staff is very sharp and they look good too.,staff,positive
The staff is very sharp and they look good too.,service,positive
The worst though was the taste.,taste,negative
The worst though was the taste.,food,negative
"They were dry, stale and pretty flavorless.",food,negative
The fajita we tried was tasteless and burned and the mole sauce was way too sweet.,fajita,negative
The fajita we tried was tasteless and burned and the mole sauce was way too sweet.,mole sauce,negative
The fajita we tried was tasteless and burned and the mole sauce was way too sweet.,food,negative
Stay with the roasted chickens and you'll be fine.,roasted chickens,positive
Stay with the roasted chickens and you'll be fine.,food,positive
"The atmosphere is warm, comfortable, artsy and sexy.",atmosphere,positive
"The atmosphere is warm, comfortable, artsy and sexy.",ambience,positive
"The food is great (big selection, reasonable prices) and the drinks are really good.",food,positive
"The food is great (big selection, reasonable prices) and the drinks are really good.",selection,positive
"The food is great (big selection, reasonable prices) and the drinks are really good.",prices,positive
"The food is great (big selection, reasonable prices) and the drinks are really good.",drinks,positive
"The food is great (big selection, reasonable prices) and the drinks are really good.",food,positive
"The food is great (big selection, reasonable prices) and the drinks are really good.",price,positive
The steak melted in my mouth.,steak,positive
The steak melted in my mouth.,food,positive
"The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it.",waiters,positive
"The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it.",food,neutral
"Most importantly, it is reasonably priced.",priced,positive
"Most importantly, it is reasonably priced.",price,positive
"The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great.",selection of food,positive
"The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great.",atmosphere,positive
"The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great.",food,positive
"The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great.",ambience,positive
"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.",dessert,negative
"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.",taste,negative
"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.",food,negative
"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.",price,negative
"Food was decent, but not great.",Food,positive
"Food was decent, but not great.",food,positive
I have no idea why this restaurant is so often overlooked.,anecdotes/miscellaneous,positive
"From the moment you walk in, you feel like you're in the perfect place.",anecdotes/miscellaneous,positive
i dont know what some people who rave about this hot dog are talking about.,hot dog,negative
i dont know what some people who rave about this hot dog are talking about.,food,negative
it is a hidden delight complete with a quaint bar and good food.,bar,positive
it is a hidden delight complete with a quaint bar and good food.,food,positive
it is a hidden delight complete with a quaint bar and good food.,food,positive
it is a hidden delight complete with a quaint bar and good food.,ambience,positive
"I find that most Kosher restaurants are average to good, but this has been the best I've eaten so far.",anecdotes/miscellaneous,positive
The waiters ALWAYS look angry and even ignore their high-tipping regulars.,waiters,negative
The waiters ALWAYS look angry and even ignore their high-tipping regulars.,service,negative
"the atmosphere is very nice, and a welcome escape from the rest of the SI mall.",atmosphere,positive
"the atmosphere is very nice, and a welcome escape from the rest of the SI mall.",ambience,positive
"Yes, they're a bit more expensive then typical, but then again, so is their food.",food,positive
"Yes, they're a bit more expensive then typical, but then again, so is their food.",price,negative
"Yes, they're a bit more expensive then typical, but then again, so is their food.",food,positive
"Not terrible, but not the restaurant in the reviews of 2002.",anecdotes/miscellaneous,negative
"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",wraps,positive
"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",burgers,positive
"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",salads,positive
"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",mango margareta,positive
"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",food,positive
"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",price,positive
It was delicious and large!,food,positive
"Anywhere else, the prices would be 3x as high!",prices,positive
"Anywhere else, the prices would be 3x as high!",price,positive
The service we experienced was friendly and good.,service,positive
The service we experienced was friendly and good.,service,positive
Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.,waiter,positive
Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.,staff,negative
The folding chair I was seated at was uncomfortable.,folding chair,negative
The folding chair I was seated at was uncomfortable.,ambience,negative
As we waited I watched 3 seperate groups of diners discuss how dissapointed they also were.,anecdotes/miscellaneous,negative
An excellent choice in midtown.,anecdotes/miscellaneous,positive
Service was among the best I have ever had in NYC.,Service,positive
Service was among the best I have ever had in NYC.,service,positive
The fettucino alfredo was amazing.,fettucino alfredo,positive
The fettucino alfredo was amazing.,food,positive
The food was very good and I was pleasantly surprised to see so many vegan options.,food,positive
The food was very good and I was pleasantly surprised to see so many vegan options.,vegan options,positive
The food was very good and I was pleasantly surprised to see so many vegan options.,food,positive
I know real Indian food and this wasn't it.,Indian food,negative
I know real Indian food and this wasn't it.,food,negative
"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",Smoked Trout,positive
"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",Lamb Chops,positive
"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",Veal Chops,positive
"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",Rabbit,positive
"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",potato gratin,positive
"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",food,positive
"Even when the chef is not in the house, the food and service are right on target.",chef,neutral
"Even when the chef is not in the house, the food and service are right on target.",food,positive
"Even when the chef is not in the house, the food and service are right on target.",service,positive
"Even when the chef is not in the house, the food and service are right on target.",food,positive
"Even when the chef is not in the house, the food and service are right on target.",service,positive
Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,eggs benedict,positive
Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,mussels,positive
Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,hamburger,positive
Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,food,positive
"The waiters were very professional, courteous and attentive.",waiters,positive
"The waiters were very professional, courteous and attentive.",service,positive
My boyfriend and I went here last night and LOVED it!,anecdotes/miscellaneous,positive
The falafal was rather over cooked and dried but the chicken was fine.,falafal,negative
The falafal was rather over cooked and dried but the chicken was fine.,chicken,positive
"I highly reccomend the grand marnier shrimp, it's insanely good.",grand marnier shrimp,positive
"I highly reccomend the grand marnier shrimp, it's insanely good.",food,positive
"We been there and we really enjoy the food, was areally great food, and the service was really good.",food,positive
"We been there and we really enjoy the food, was areally great food, and the service was really good.",food,positive
"We been there and we really enjoy the food, was areally great food, and the service was really good.",service,positive
"We been there and we really enjoy the food, was areally great food, and the service was really good.",food,positive
"We been there and we really enjoy the food, was areally great food, and the service was really good.",service,positive
Desserts include flan and sopaipillas.,Desserts,neutral
Desserts include flan and sopaipillas.,flan,neutral
Desserts include flan and sopaipillas.,sopaipillas,neutral
Desserts include flan and sopaipillas.,food,neutral
I was starving and the small portions were driving me crazy!,portions,negative
I was starving and the small portions were driving me crazy!,food,negative
The wait staff was loud and inconsiderate.,wait staff,negative
The wait staff was loud and inconsiderate.,service,negative
"However, the food and service and dramatically lacking.",food,negative
"However, the food and service and dramatically lacking.",service,negative
"However, the food and service and dramatically lacking.",food,negative
"However, the food and service and dramatically lacking.",service,negative
The sushi is cut in blocks bigger than my cell phone.,sushi,negative
The sushi is cut in blocks bigger than my cell phone.,food,negative
"The service is great, my soup always arrives nice and hot.",service,positive
"The service is great, my soup always arrives nice and hot.",soup,positive
"The service is great, my soup always arrives nice and hot.",service,positive
"The service is great, my soup always arrives nice and hot.",food,positive
It had been awhile and I forgot just how delicious crepes can be.,crepes,positive
It had been awhile and I forgot just how delicious crepes can be.,food,positive
Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,desserts,positive
Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,creme brulee,positive
Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,apple tart,positive
Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,food,positive
My friend told me about this restaurant for a year before he finally took me this weekend.,anecdotes/miscellaneous,neutral
i had a delicious shrimp creole.,shrimp creole,positive
i had a delicious shrimp creole.,food,positive
The chicken dinner was real good.,chicken dinner,positive
The chicken dinner was real good.,food,positive
Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.,chili signed food items,negative
Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.,food,negative
The decor is designed in a contemporary Japanese style restaurant.,decor,neutral
The decor is designed in a contemporary Japanese style restaurant.,ambience,neutral
but the food was delicious.,food,positive
but the food was delicious.,food,positive
"Try the ribs, sizzling beef and couple it with coconut rice.",coconut rice,positive
"Try the ribs, sizzling beef and couple it with coconut rice.",ribs,positive
"Try the ribs, sizzling beef and couple it with coconut rice.",beef,positive
"Try the ribs, sizzling beef and couple it with coconut rice.",food,positive
The only drawback is that it's a little pricey.,price,negative
Everything about this place was wonderful.,anecdotes/miscellaneous,positive
The avocado salad is a personal fave.,avocado salad,positive
The avocado salad is a personal fave.,food,positive
"And, the honey BBQ rib tips are yummy!",honey BBQ rib tips,positive
"And, the honey BBQ rib tips are yummy!",food,positive
The BEST Chinese food Uptown!,Chinese food,positive
The BEST Chinese food Uptown!,food,positive
Service is known for bending over backwards to make everyone happy.,Service,positive
Service is known for bending over backwards to make everyone happy.,service,positive
The staff is very friendly.,staff,positive
The staff is very friendly.,service,positive
